2026/01/12,コスメ俱楽部,通常,TikTok,Moeka,みんなはコスメパケ買いすることあるー？🤔💕 #リップ #新作コスメ #購入品紹介 #韓国コスメ #プチプラ,https://www.tiktok.com/@cosme_katari.club/video/7594407034250906900?is_from_webapp=1&sender_device=pc&web_id=7545398181158110727,単品,2026/1/28 15:53:08,26,,"1,079",15,6,70,,,,,,0%,,,,,,,,,,,,,,,
2026/01/09,デパコス,通常,TikTok,Moeka,DIOR速報！！#ディオール #dior #ノベルティ #速報 #リップ,https://www.tiktok.com/@buzzcosme_review/video/7593284386359905557?is_from_webapp=1&sender_device=pc&web_id=7545398181158110727,単品,2026/01/28 15:53:12,10,,876,10,54,158,,,,,,0%,,,,,,,,,,,,,,,
2026/01/07,ビビちゃん,通常,YT,Maya,9割の人が間違ってる⁉︎フェイスパウダーこのやり方じゃないと乾燥します #shorts #コスメ #美容 #メイク #垢抜け,https://youtube.com/shorts/BXIYM0yC6bo?si=5vfvb2S4pgGD_2bm,単品,2026/01/29 11:22:52,27,"33,778",407,2,,,1.20%,0.01%,0.00%,0.00%,,0%,,,,,,0.00%,,,,,,,,,
2026/01/03,怪獣ちゃん,通常,YT,Hina,500円で中顔面短縮できる最強アイシャドウはこれだよ #コスメ #美容 #メイク #プチプラ #おすすめ,https://youtube.com/shorts/RM6Ub0G8LVY?si=JdibIN5Px2R6Wzr5,単品,2026/01/29 11:23:28,19,"34,483",480,2,,,1.39%,0.01%,0.00%,0.00%,,0%,,,,,,0.00%,,,,,,,,,
2026/01/07,ビビちゃん,通常,YT,Maya,【これヤバい】カバー力無限大すぎるファンデが優勝しすぎでした #shorts #コスメ #美容 #メイク #購入品紹介,https://www.youtube.com/shorts/FKaCpaLKV0o,単品,2026/1/29 11:23:44,24,"27,064",381,6,,,1.41%,0.02%,0.00%,0.00%,,0%,,,,,,,,,,,,,,,
2026/01/09,ビビちゃん,通常,YT,Maya,【これヤバい】ペリペラがやらかしてる⁉︎コスメの名前トンチキすぎ #shorts #コスメ #美容 #メイク #韓国コスメ,https://youtube.com/shorts/aMrtGEJmVIM?si=vhrf-zKTkn7wdhQ8,単品,2026/1/29 11:23:02,36,"32,977",602,3,,,1.83%,0.01%,0.00%,0.00%,,,,,,,,,,,,,,,,,
2026/01/01,韓国オンニ,通常,YT,Hina,2026年これ買えた人強運すぎる⁉︎Lakaの唇エステリップがまじで天才 #コスメ #美容 #スキンケア #リップ #韓国コスメ,https://youtube.com/shorts/6VO72y1GP68?si=xe9H-CT3INoVm9HI,単品,2026/01/29 11:23:42,28,"31,319",485,4,,,1.55%,0.01%,0.00%,0.00%,,0%,,,,,,0.00%,,,,,,,,,
2026/01/30,kana,通常,YT,Ryusei,part 3 | pov : my Japanese sister wants to teach hair arrangement but she can’t speak English #japan,https://youtube.com/shorts/nOZ_d9rWQ_s?si=zeCCsaPGVBUlagse,単品,2026/1/29 11:23:19,40,"35,130","1,926",37,,,5.48%,0.11%,0.00%,0.00%,,0%,,,,,,,,,,,,,,,
2026/01/07,モテコスメちゃん,通常,YT,Maya,【保存必須】20代のうちにやらないと後悔する美容習慣5選 #shorts #コスメ #美容 #垢抜け #モテる,https://youtube.com/shorts/3cq9MDonqCs?si=ew4cbdadMsLCc3_U,単品,2026/01/29 11:22:53,23,"34,533",601,2,,,1.74%,0.01%,0.00%,0.00%,,0%,,,,,,0.00%,,,,,,,,,
2026/01/30,kana,通常,YT,Ryusei,I think she doesn’t understand what she’s saying lol #jbeauty #japan #kana,https://youtube.com/shorts/6oqXVZqftlc?si=H24jxMr_RuEzHBBP,単品,2026/1/29 11:23:13,49,"31,353","3,706",15,,,11.82%,0.05%,0.00%,0.00%,,0%,,,,,,,,,,,,,,,
2026/01/07,韓国オンニ,通常,YT,Hina,2026年開運すぎる⁉︎ガチ落ちない最新飲み会リップはこれです  #コスメ #美容 #メイク #おすすめ #購入品紹介,https://youtube.com/shorts/mdHe9KNNsYI?si=AXlHlhXAh1i92JBq,単品,2026/01/29 11:22:56,28,"28,696",350,0,,,1.22%,0.00%,0.00%,0.00%,,0%,,,,,,0.00%,,,,,,,,,
2026/01/30,kana,通常,IG,Ryusei,"pov : my japanese sister wants to introduce japaneae McDonald’s but she cant speak english

#jbeauty #japan #sister #japanese #fyp",https://www.instagram.com/reel/DTWu87GDMny/?igsh=MXJ6YzZ6ZzB4YmsydQ==,単品,2026/1/26 12:45:49,53,,"5,021",81,,,,,,,,0%,,,,,,,,,,,,,,,
