投稿日,アカウント名,PR/通常,sns,担当者,タイトル,URL,種別,更新日,動画尺,再生数,いいね,コメント,共有,保存,いいね率,コメント率,共有率,保存率,平均視聴時間,視聴維持率,1秒継続率,3秒継続率,6秒継続率,フル視聴率,新規フォロー,フォロー率,おすすめ率
2026-01-23 00:00:00,コスメ俱楽部,通常,X(Twitter),,ジョンセンムルチーク,https://x.com/cosme_kataritai/status/2014536616443064536?s=46&t=AXcBEy1MRH62MHqNgHpBAA,,,,,,,,,,,,,,,,,,,,,
2026-01-23 00:00:00,デパコス,通常,IG,,みんな一旦これ買っておけば間違いない！！！ #デパコス #ディオール #ハイライト #リップ #新作コスメ,https://www.instagram.com/reel/DT1U6lkEhiY/?igsh=MXV5b3h1d3I3cWg5Mg==,単品,2026/1/26 12:39:02,33,93,2,0,,,0.0215,0.0,0.0,0.0,,0.0,,,,,,,
2026-01-23 00:00:00,デパコス,通常,YT,,後悔させない！今デパコスにお金かけるならこれ！ #コスメ #美容 #メイク #購入品紹介 #dior,https://youtube.com/shorts/RhwAzEaBVVQ?si=0Rxjf9gJp7LlTeGe,単品,2026/01/26 12:28:58,34,20838,158,0,,,0.0076,0.0,0.0,0.0,,0.0,,,,,,,
2026-01-23 00:00:00,デパコス,通常,X(Twitter),,デパコスまとめ,https://x.com/buzzcosmereview/status/2014537518457479393?s=46&t=AXcBEy1MRH62MHqNgHpBAA,,,,,,,,,,,,,,,,,,,,,
2026-01-23 00:00:00,デパコス,通常,IG,,クレドハイライト,https://www.instagram.com/reel/DT2Q5AoEtqs/?igsh=dDc4c3R4b2JzaWc5,単品,2026/01/26 12:39:21,,,,,,,,,,,,,,,,,,,
2026-01-23 00:00:00,デパコス,通常,YT,,可愛い子はみんな持ってる⁉︎クレドのハイライト何がそんなにいいの？ #コスメ #美容 #メイク #購入品紹介 #おすすめ,https://youtube.com/shorts/lkKbfV17b3o?si=tMOlyy9_gSjvh7f1,単品,2026/01/26 12:28:59,16,2150,5,0,,,0.0023,0.0,0.0,0.0,,0.0,,,,,,,
2026-01-23 00:00:00,大学生,通常,IG,,みんなのベストアイライナーも教えて！！！！🥺✨ #コスメ　#アイライナー　#ベスコス #アイメイク,https://www.instagram.com/reel/DT2RCj4E3VY/?igsh=MTczdjd2ZGtwbnVwZg==,単品,2026/1/26 12:39:29,45,0,1,0,,,,,,,,0.0,,,,,,,
2026-01-23 00:00:00,大学生,通常,YT,,絶対に落ちない優秀アイライナーはこれ！みんなのおすすめも教えて🥰 #コスメ #美容 #メイク #購入品紹介 #おすすめ,https://youtube.com/shorts/HwUzNCZ4eR4?si=DjJFKpcjLVt7Xkpz,単品,2026/01/26 12:29:01,46,2131,14,0,,,0.0066,0.0,0.0,0.0,,0.0,,,,,,,
2026-01-23 00:00:00,Sakurabeauty,通常,IG,,"Here’s the Japanese skincare I actually use for acne🇯🇵🌿🌿Acne is seriously so annoying, right?😩#jbeauty #jbeautyskincare #japaneseskincare #japan",https://www.instagram.com/reel/DT2Qy9nAVuj/?igsh=dDBieDh2eWF4dnl1,単品,2026/01/26 12:39:37,23,16,0,0,,,0.0,0.0,0.0,0.0,,0.0,,,,,,,
2026-01-23 00:00:00,Sakurabeauty,通常,YT,,"Here’s the Japanese skincare I actually use for acne🇯🇵🌿🌿Acne is seriously so annoying, right?😩",https://youtube.com/shorts/CPbi8I_-gSo?si=9gTzSrRp1f7LLr2f,単品,2026/01/26 12:29:02,24,1288,37,1,,,0.0287,0.0008,0.0,0.0,,0.0,,,,,,,
2026-01-23 00:00:00,Maya grant,通常,IG,Riho,"I asked my Japanese friend for ReFa recommendations💗💗She said the mini brush is easy to carry and perfect as a souvenir🇯🇵✨Oh—and I’ll be sharing more recs, so please follow me🥺🥺🥺#refa #jbeauty #japanesemakeup #refabrush #japanesmakeup",https://www.instagram.com/reel/DT2O5QXk3Zm/?igsh=NjV0dHlvdWplZzFm,単品,2026/1/26 12:39:44,38,24000,492,2,,,0.020499999999999997,0.0001,0.0,0.0,,0.0,,,,,,,
2026-01-23 00:00:00,Maya grant,通常,YT,Riho,I asked my Japanese friend for ReFa recommendations💗💗,https://youtube.com/shorts/wVumKYkA_fA?si=DGh9hjtGIbbYe2L8,単品,2026/1/26 12:29:03,38,1502,15,0,,,0.01,0.0,0.0,0.0,,0.0,,,,,,,
2026-01-23 00:00:00,しーちゃん２,通常,YT,,激似⁉︎YSLのプランパーがAMUSEで代用できるらしい！！！ #コスメ #美容 #メイク #ysl #韓国コスメ,https://youtube.com/shorts/TROEaOaGC3Y?si=RjIF_gF0tTY_lmwN,単品,2026/1/26 12:29:04,55,1480,7,0,,,0.004699999999999999,0.0,0.0,0.0,,0.0,,,,,,,
2026-01-24 00:00:00,ビビちゃん,通常,IG,Maya,ペリペラさん流石に癖強すぎます。次回作も楽しみすぎるwwwww #コスメ #ペリペラ #大喜利,https://www.instagram.com/reel/DT4zw50Env6/?igsh=MXR2ZDVmN2pvNXV1cg==,単品,2026/01/26 12:39:51,17,13636,832,1,,,0.061,0.0001,0.0,0.0,,0.0,,,,,,,
2026-01-24 00:00:00,ビビちゃん,通常,YT,Maya,【これヤバい】ねぇペリペラ大丈夫？クセつよトンチキネーミング止まらんw  #shorts #コスメ #美容 #メイク #韓国コスメ #垢抜け,https://youtube.com/shorts/cSG9Eo1dfpo?si=ryNZjhB1U-Ya16Wq,単品,2026/01/26 12:29:05,17,21898,262,1,,,0.012,0.0,0.0,0.0,,0.0,,,,,,,
2026-01-24 00:00:00,ビビちゃん,通常,X(Twitter),Maya,ペリペラ,https://x.com/bibichan_cosme/status/2014909044516069640?s=46&t=AXcBEy1MRH62MHqNgHpBAA,,,,,,,,,,,,,,,,,,,,,
2026-01-24 00:00:00,美容探偵,通常,IG,,プチプラってやっぱ2000円！？で買えちゃうおすすめコスメまとめてみたー！！！💖#プチプラ #美容 #新作コスメ #リップ #下地,https://www.instagram.com/reel/DT4zql-Ae22/?igsh=dnZiaGluN25kNHlp,単品,2026/01/26 12:39:59,42,6010,149,0,,,0.0248,0.0,0.0,0.0,,0.0,,,,,,,
2026-01-24 00:00:00,美容探偵,通常,YT,,2000円以下のおすすめコスメ集めたらデパコス級の名品が集まりすぎた #コスメ #美容 #メイク #プチプラ #おすすめ,https://youtube.com/shorts/lBegP8n539o?si=gtJC_ueuKZJJiyjI,単品,2026/01/26 12:29:06,43,22418,175,0,,,0.0078000000000000005,0.0,0.0,0.0,,0.0,,,,,,,
2026-01-24 00:00:00,美容探偵,通常,X(Twitter),,プチプラ,https://x.com/tantei_cosme/status/2014908422165299265?s=46&t=AXcBEy1MRH62MHqNgHpBAA,,,,,,,,,,,,,,,,,,,,,
2026-01-24 00:00:00,韓国オンニ,通常,IG,,やばい！デューリットのデビルデュー念願のゲット‼️回らない水光カラコンとか韓国メイクにピッタリすぎるじゃん！みんなも絶対ゲットして！！！#カラコン #韓国 #メイク #水光カラコン #韓国オンニ,https://www.instagram.com/reel/DT4zvrqkjh7/?igsh=aDlubTYzdWVhY2kx,単品,2026/01/26 12:40:06,23,632,36,0,,,0.057,0.0,0.0,0.0,,0.0,,,,,,,
2026-01-24 00:00:00,韓国オンニ,通常,YT,,即完⁉︎韓国アイドルみたいな目になれちゃう水光カラコンが最高すぎる #コスメ #美容 #メイク #カラコン #購入品紹介,https://youtube.com/shorts/kobouaOEljA?si=kbg0UAl5XxGRXiBb,単品,2026/01/26 12:29:08,24,14313,238,1,,,0.0166,0.0001,0.0,0.0,,0.0,,,,,,,
2026-01-24 00:00:00,韓国オンニ,通常,X(Twitter),,カラコン,https://x.com/choa__cosme/status/2014907452790342036?s=46&t=AXcBEy1MRH62MHqNgHpBAA,,,,,,,,,,,,,,,,,,,,,
2026-01-24 00:00:00,成分オタクちゃん,通常,IG,Riho,ちふれ美容液,https://www.instagram.com/reel/DT4zsj4EZgQ/?igsh=MTJhMjB5ZHlwMWIwdw==,単品,2026/01/26 12:40:25,,56000,,,,,0.0,0.0,0.0,0.0,,,,,,,,,
2026-01-24 00:00:00,成分オタクちゃん,通常,YT,Riho,透明感欲しいならちふれの美白美容液です！舐めてたら後悔します #コスメ #美容 #スキンケア #プチプラ #おすすめ,https://youtube.com/shorts/vkXPZQi5G-Q?si=OZ0_XbtFhsXPP5hC,単品,2026/1/26 12:29:09,19,13718,98,1,,,0.0070999999999999995,0.0001,0.0,0.0,,0.0,,,,,,,
2026-01-24 00:00:00,成分オタクちゃん,通常,X(Twitter),,ちふれ美容液,https://x.com/seibunotakuchan/status/2014906856280621286?s=46&t=AXcBEy1MRH62MHqNgHpBAA,,,,,,,,,,,,,,,,,,,,,
2026-01-24 00:00:00,ももそら,通常,IG,,セザンヌの白コンシーラーやっとゲットした！！！みんなの周りでは買える？てか、これ天才すぎない？#セザンヌ #新作 #コスメ #ハイライト #ももそら,https://www.instagram.com/reel/DT4zs3LE6k1/?igsh=YTNhZzJvZm9kZjRy,単品,2026/01/26 12:40:36,40,0,216,1,,,,,,,,0.0,,,,,,,
2026-01-24 00:00:00,ももそら,通常,YT,,セザンヌ史上最強⁉︎完売してた白コンシーラーが良すぎて爆語り #コスメ #美容 #メイク #プチプラ #おすすめ,https://youtube.com/shorts/c1lcT9EnPHc?si=8WCnWfr4bAEoIqrj,単品,2026/01/26 12:29:10,41,13638,112,0,,,0.008199999999999999,0.0,0.0,0.0,,0.0,,,,,,,
2026-01-24 00:00:00,ももそら,通常,X(Twitter),,セザンヌ白コンシーラー,https://x.com/cosme_kaigi/status/2014904539066093653?s=46&t=AXcBEy1MRH62MHqNgHpBAA,,,,,,,,,,,,,,,,,,,,,
2026-01-24 00:00:00,デパコス,通常,IG,,ちょっとこれは本気でかわいいすぎない！？#ディオール #香水 #プレゼント #デパコス #ギフト,https://www.instagram.com/reel/DT4HwZBEnOI/?igsh=eDZtMjRiYmR5Mng0,単品,2026/01/26 12:40:43,15,21,0,0,,,0.0,0.0,0.0,0.0,,0.0,,,,,,,
2026-01-24 00:00:00,デパコス,通常,YT,,このDIOR貰ったら絶対嬉しい！本気で可愛すぎるミニ香水セット #コスメ #美容 #香水  #デパコス #dior,https://youtube.com/shorts/9ZKnd_nXfeE?si=iJIkSjTmNLba8zuN,単品,2026/01/26 12:29:12,16,2408,25,0,,,0.0104,0.0,0.0,0.0,,0.0,,,,,,,
2026-01-24 00:00:00,デパコス,通常,IG,,みんなのイチオシキャンメイクは？？#キャンメイク #canmake #켄메이크 #プチプラコスメ,https://www.instagram.com/reel/DT421SRklkM/?igsh=MXdia2F4MXlwdnlodw==,単品,2026/01/26 12:40:50,19,31,1,0,,,0.0323,0.0,0.0,0.0,,0.0,,,,,,,
